No.,単語,漢字表記,品詞,英訳,課数
112,いちにちじゅう,一日中,adv.,all day long,会L15
113,いちにちめ,一日目,n.,first day,会L15
114,いちねんじゅう,一年中,adv.,all year,読L15-II
128,いっぱくにしょくつき,一泊二食付き,exp.,one night with two meals,会L15(e)
148,インターネット,,n.,internet,会L15
167,うまれる,生まれる,ru-v.,to be born ,"読L15-II, 会L17"
179,え,絵,n.,painting; picture; drawing,会L15
183,えいがかん,映画館,n.,movie theater,会L15
261,おとされる,落とされる,exp.,to be dropped,読L15-II
311,おろす,下ろす,u-v.,to withdraw (money),会L15
326,がいこくじん,外国人,n.,foreigner,会L15
345,かく,描く,u-v.,to draw; to paint,会L15
346,かぐ,家具,n.,furniture,会L15
381,かつどう,活動,n.,activity,会L15
427,かんこうする,観光する,irr-v.,to do sightseeing ,会L15
453,きつえん,喫煙,n.,smoking,会L15(e)
479,きょうしつ,教室,n.,classroom,会L15
491,きをつける,気をつける,ru-v.,to be cautious/careful ,会L15
494,きんえん,禁煙,n.,non-smoking,会L15(e)
504,くじら,,n.,whale,読L15-II
544,けしき,景色,n.,scenery,読L15-II
552,けっこんしき,結婚式,n.,wedding,会L15
555,～けど,,part.,". . . , but; . . . , so",会L15
566,げんばく,原爆,n.,atomic bomb,読L15-II
581,こうよう,紅葉,n.,autumn leaves/colors,読L15-II
623,こむ,混む,u-v.,to get crowded,"読L15-II, 会L17"
643,こんでいる,混んでいる,exp.,to be crowded,読L15-II
657,さいきん,最近,adv.,recently,会L15
660,さがす,探す,u-v.,to look for,会L15
669,さそう,誘う,u-v.,to invite,会L15
689,さんかする,参加する,irr-v.,to participate ,会L15
707,しか,鹿,n.,deer,読L15-II
718,じしん,地震,n.,earthquake,会L15
720,しぜん,自然,n.,nature,読L15-II
743,しま,島,n.,island,読L15-II
751,ジャケット,,n.,jacket,会L15
755,しゃべる,,u-v.,to chat,会L15
765,しゅうかん,習慣,n.,custom,会L15
794,しゅじん,主人,n.,head of a familiy,読L15-II
824,しらべる,調べる,ru-v.,to look into (a matter) ,会L15
835,シングル,,n.,single room,会L15(e)
858,スクランブルこうさてん,スクランブル交差点,n.,scramble crossing,読L15-II
879,する,,irr-v.,to decide on (an item) ,会L15
889,ぜいきん,税金,n.,tax,会L15
935,そつぎょうしき,卒業式,n.,graduation ceremony,会L15
936,そつぎょうする,卒業する,irr-v.,to graduate (from . . . ) ,会L15
940,そば,,n.,soba; Japanese buckwheat noodles,会L15
974,だいよくじょう,大浴場,n.,large spa,会L15(e)
983,たけ,竹,n.,bamboo,読L15-II
995,たてもの,建物,n.,building,会L15
1000,たのしみです,楽しみです,exp.,cannot wait; to look forward to it,会L15
1002,たのしむ,楽しむ,u-v.,to enjoy,読L15-II
1005,ダブル,,n.,double room,会L15(e)
1023,チェックアウト（する）,,irr-v.,checking out,会L15(e)
1024,チェックイン（する）,,irr-v.,checking in,会L15(e)
1026,ちか,地下,n.,underground,読L15-II
1036,ちず,地図,n.,map,会L15
1051,ちょうしょくつき,朝食付き,n.,with breakfast,会L15(e)
1058,ツイン,,n.,twin room,会L15(e)
1126,でんち,電池,n.,battery,会L15
1157,とおる,通る,u-v.,to go through; to pass,読L15-II
1196,トロッコれっしゃ,トロッコ列車,n.,small train usually for tourists,読L15-II
1263,にわ,庭,n.,garden,会L15
1281,のこす,残す,u-v.,to leave; to preserve,読L15-II
1312,～はく,～泊,suf.,. . . nights,会L15(e)
1321,ばしょ,場所,n.,place,"読L15-II, 会L23"
1338,はっぴょうする,発表する,irr-v.,to make a presentation; to make public ,会L15
1371,ひ,日,n.,day,"読L15-II, 会L16"
1416,ファッション,,n.,fashion,読L15-II
1420,プール,,n.,swimming pool,会L15
1456,フロント,,n.,receptionist; front desk,会L15(e)
1462,へいわ,平和,n.,peace,読L15-II
1463,へいわきねんしりょうかん,平和記念資料館,n.,Peace Memorial Museum,読L15-II
1467,ペット,,n.,pet,会L15
1493,ほけん,保険,n.,insurance,会L15
1495,ほけんにはいる,保険に入る,u-v.,to buy insurance,会L15
1537,まちあわせをする,待ち合わせをする,irr-v.,to meet up ,読L15-II
1555,みえる,見える,ru-v.,to be visible ,会L15
1607,～め,～目,suf.,=-th,会L15
1608,～めい,～名,suf.,. . . person(s),会L15(e)
1624,もういちど,もう一度,adv.,one more time,会L15
1706,よてい,予定,n.,schedule; plan,会L15
1710,よやくする,予約する,irr-v.,to reserve ,会L15
1736,りょかん,旅館,n.,Japanese inn,会L15
1761,わかもの,若者,n.,young people,読L15-II
1771,わりびきけん,割引券,n.,discount coupon,会L15
